index,id,label
0,afghanistan,Afghanistan
1,albania,Albania
2,algeria,Algeria
3,allemagne,Allemagne
4,andorra,Andorra
5,anguilla,Anguilla
6,argentina,Argentina
7,argentina-espanol,Argentina-espanol
8,armenia-pyсский,Armenia-pyсский
9,aruba-espanol,Aruba-espanol
10,asia-pacific,Asia-pacific
11,australia,Australia
12,australia-english,Australia-english
13,austria,Austria
14,austria-deutsch,Austria-deutsch
15,autriche,Autriche
16,azerbaijan,Azerbaijan
17,azerbaijan-русский,Azerbaijan-русский
18,belarus,Belarus
19,belarus-pyсский,Belarus-pyсский
20,belgica,belgica
21,belgien,belgien
22,belgique,Belgique
23,belgium,Belgium
24,belgium-francais,Belgium-francais
25,belgium-nederlands,Belgium-nederlands
26,bolivia,Bolivia
27,bolivia-espanol,Bolivia-espanol
28,bosnia_and_herzegovina,Bosnia and Herzegovina
29,bosnia-i-hercegovina-bosnian,Bosnia-i-hercegovina-bosnian
30,botswana-english,Botswana-english
31,brazil,Brazil
32,brazil-portugues,Brazil-portugues
33,bulgaria,Bulgaria
34,bulgaria-български,Bulgaria-български
35,burkina_faso,Burkina Faso
36,cambodia,Cambodia
37,cambodia-english,Cambodia-english
38,cambodia-ភាសាខ្មែរ,Cambodia-ភាសាខ្មែរ
39,cameroon,Cameroon
40,canada,Canada
41,canada-english,Canada-english
42,canada-francais,Canada-francais
43,cantabria,cantabria
44,chile,Chile
45,chile-espanol,Chile-espanol
46,china,China
47,china-中文,China-中文
48,colombia,Colombia
49,colombia-espanol,Colombia-espanol
50,costa_rica,Costa Rica
51,costa-rica-espanol,Costa-rica-espanol
52,croatia,Croatia
53,croatia-hrvatski,Croatia-hrvatski
54,cuba,Cuba
55,cyprus,Cyprus
56,cyprus-ελληνικά,Cyprus-ελληνικά
57,czech_republic,Czech Republic
58,czech-republic-čeština,Czech-republic-čeština
59,côte_d'ivoire,Côte d'Ivoire
60,democratic_republic_of_the_congo,Democratic Republic of the Congo
61,denmark,Denmark
62,denmark-dansk,Denmark-dansk
63,deutschland,deutschland
64,djibouti,Djibouti
65,dom-tom,dom-tom
66,dominica,Dominica
67,dominican_republic,Dominican Republic
68,ecuador,Ecuador
69,ecuador-espanol,Ecuador-espanol
70,egypt,Egypt
71,el_salvador,El Salvador
72,el-salvador-espanol,El-salvador-espanol
73,en,En
74,estonia,Estonia
75,estonia-eesti,Estonia-eesti
76,europe,Europe
77,european_union,European Union
78,fiji,Fiji
79,finland,Finland
80,finland-suomi,Finland-suomi
81,france,France
82,france-francais,France-francais
83,francia,francia
84,frankreich,frankreich
85,french_guiana,French Guiana
86,french_polynesia,French Polynesia
87,gabon,Gabon
88,georgia-ქართული,Georgia-ქართული
89,germany,Germany
90,germany-deutsch,Germany-deutsch
91,ghana-english,Ghana-english
92,greece,Greece
93,greece-ελληνικά,Greece-ελληνικά
94,guadeloupe,Guadeloupe
95,guatemala,Guatemala
96,guatemala-espanol,Guatemala-espanol
97,haiti,Haiti
98,honduras,Honduras
99,honduras-espanol,Honduras-espanol
100,hong_kong,Hong Kong
101,hong-kong-粵語,Hong-kong-粵語
102,hongrie,Hongrie
103,hungary,Hungary
104,hungary-magyar,Hungary-magyar
105,iceland,Iceland
106,iceland-islenska,Iceland-islenska
107,india,India
108,india-english,India-english
109,indonesia,Indonesia
110,indonesia-bahasa-indonesia,Indonesia-bahasa-indonesia
111,iran,Iran
112,iraq,Iraq
113,ireland,Ireland
114,ireland-english,Ireland-english
115,israel,Israel
116,israel-עברית,Israel-עברית
117,italien,italien
118,italy,Italy
119,italy-italiano,Italy-italiano
120,jamaica,Jamaica
121,jamaica-english,Jamaica-english
122,japan,Japan
123,japan-日本語,Japan-日本語
124,jersey,Jersey
125,jordan,Jordan
126,kazakhstan,Kazakhstan
127,kazakhstan-pyсский,Kazakhstan-pyсский
128,korea-한국어,Korea-한국어
129,kuwait,Kuwait
130,kyrgyzstan,Kyrgyzstan
131,kyrgyzstan-русский,Kyrgyzstan-русский
132,laredo,laredo
133,latvia,Latvia
134,latvia-latviešu,Latvia-latviešu
135,lebanon,Lebanon
136,lebanon-english,Lebanon-english
137,lesotho-english,Lesotho-english
138,libya,Libya
139,liechtenstein,Liechtenstein
140,lithuania,Lithuania
141,lithuania-lietuvių,Lithuania-lietuvių
142,luxembourg,Luxembourg
143,macau-中文,Macau-中文
144,madagascar,Madagascar
145,malaysia,Malaysia
146,malaysia-bahasa-melayu,Malaysia-bahasa-melayu
147,malaysia-english,Malaysia-english
148,malaysia-中文,Malaysia-中文
149,mali,Mali
150,malta,Malta
151,martinique,Martinique
152,mauritania,Mauritania
153,mauritius,Mauritius
154,mexico,Mexico
155,mexico-espanol,Mexico-espanol
156,middle-east-africa,Middle-east-africa
157,moldova,Moldova
158,moldova-roman,Moldova-roman
159,monaco,Monaco
160,mongolia,Mongolia
161,mongolia-монгол-хэл,Mongolia-монгол-хэл
162,montenegro,Montenegro
163,morocco,Morocco
164,namibia-english,Namibia-english
165,netherlands,Netherlands
166,netherlands-nederlands,Netherlands-nederlands
167,new_caledonia,New Caledonia
168,new_zealand,New Zealand
169,new-zealand-english,New-zealand-english
170,nicaragua,Nicaragua
171,nicaragua-espanol,Nicaragua-espanol
172,north-macedonia-македонски-јазик,North-macedonia-македонски-јазик
173,norway,Norway
174,norway-norsk,Norway-norsk
175,oman,Oman
176,pakistan,Pakistan
177,panama,Panama
178,panama-espanol,Panama-espanol
179,paraguay,Paraguay
180,paraguay-espanol,Paraguay-espanol
181,peru,Peru
182,peru-espanol,Peru-espanol
183,philippines,Philippines
184,philippines-english,Philippines-english
185,poland,Poland
186,poland-polski,Poland-polski
187,pologne,Pologne
188,portugal,Portugal
189,portugal-portugues,Portugal-portugues
190,puerto_rico,Puerto Rico
191,puerto-rico-espanol,Puerto-rico-espanol
192,qatar,Qatar
193,republic_of_the_congo,Republic of the Congo
194,republic-of-macedonia,Republic-of-macedonia
195,republica-dominicana-espanol,Republica-dominicana-espanol
196,republika_srpska,Republika Srpska
197,romania,Romania
198,romania-romană,Romania-romană
199,royaume-uni,Royaume-uni
200,russia,Russia
201,russia-русский,Russia-русский
202,réunion,Réunion
203,saint_kitts_and_nevis,Saint Kitts and Nevis
204,saint_martin,Saint Martin
205,saint_pierre_and_miquelon,Saint Pierre and Miquelon
206,saudi_arabia,Saudi Arabia
207,schweiz,schweiz
208,senegal,Senegal
209,serbia,Serbia
210,serbia-srpski,Serbia-srpski
211,seychelles,Seychelles
212,singapore,Singapore
213,singapore-english,Singapore-english
214,slovak-republic-slovenčina,Slovak-republic-slovenčina
215,slovakia,Slovakia
216,slovenia,Slovenia
217,slovenia-slovene,Slovenia-slovene
218,south_africa,South Africa
219,south_korea,South Korea
220,south-africa-english,South-africa-english
221,spain,Spain
222,spain-espanol,Spain-espanol
223,sri_lanka,Sri Lanka
224,suede,Suede
225,suisse,Suisse
226,suiza,Suiza
227,swaziland,Swaziland
228,swaziland-english,Swaziland-english
229,sweden,Sweden
230,sweden-svenska,Sweden-svenska
231,switzerland,Switzerland
232,switzerland-deutsch,Switzerland-deutsch
233,switzerland-francais,Switzerland-francais
234,syria,Syria
235,taiwan,Taiwan
236,taiwan-中文,Taiwan-中文
237,thailand,Thailand
238,thailand-ไทย,Thailand-ไทย
239,togo,Togo
240,trinidad_and_tobago,Trinidad and Tobago
241,trinidad-tobago-english,Trinidad-tobago-english
242,tunisia,Tunisia
243,turkey,Turkey
244,turkey-turkce,Turkey-turkce
245,ukraine,Ukraine
246,ukraine-yкраї́нська,Ukraine-yкраї́нська
247,united_arab_emirates,United Arab Emirates
248,united_kingdom,United Kingdom
249,united_states,United States
250,united-kingdom-english,United-kingdom-english
251,united-states-english,United-states-english
252,united-states-espanol,United-states-espanol
253,uruguay,Uruguay
254,uruguay-espanol,Uruguay-espanol
255,vanuatu,Vanuatu
256,venezuela,Venezuela
257,venezuela-espanol,Venezuela-espanol
258,vietnam,Vietnam
259,vietnam-tiếng-việt,Vietnam-tiếng-việt
260,yemen,Yemen
261,zambia-english,Zambia-english
262,åland_islands,Åland Islands
